SMILES,pIC50,source
O[C@H]1[C@H](N2C=3C(N=C2)=C(N)N=CN3)O[C@H](COP(OP(OP(=O)(O)O)(=O)O)(=O)O)[C@H]1O,5.6138,CAS
S(C)C1=C2C(=NC(N)=N1)N=CN2,4.87615,CAS
N(C1=C2C(N=CN2)=NC=N1)C3=CC=CC=C3,5.0,CAS
C12=C(N=CN=C1N=CN2)N3CCCCC3,4.76955,CAS
C(C)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3NC1=O,4.82391,CAS
N(C1=C2C(N=CN2)=NC=N1)C3=CC(Cl)=CC=C3,5.0,CAS
N(CCC)(CCC)C1=C2C(N=CN2)=NC=N1,4.58838,CAS
N(C1=NC2=C(C=N1)C=CC=C2)C3=CC=CC=C3,5.0,CAS
C[C@@]12C=3C(=CC(C(C)C)=C(C(=NO)C)C3)CC[C@]1([C@@](C(OC)=O)(C)CCC2)[H],4.82974,CAS
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.61261,CAS
N(C1=C2C(N=CN2)=NC=N1)C3=CC=C(F)C=C3,5.0,CAS
O=C1C2=C(/C(/CCN1)=C\3/C(=O)N=C(N)N3)C=C(Br)N2,6.82391,CAS
O=C1C2=C(C(CCN1)=C3C(=O)N=C(N)N3)C=C(Br)N2,7.65999,CAS
C(C)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=C(C)C3NC1=O,4.45593,CAS
N(CCO)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3N(C)C1=O,4.60206,CAS
N(C=1N=C(C=CN1)C=2C=CC=NC2)C3=CC(NC(=O)C4=CC=C(CN5CCN(C)CC5)C=C4)=CC=C3C,5.0,CAS
CC12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5C(O1)CC(NC)C2OC)=CC=CC8,7.25964,CAS
C[C@@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@@](O1)(C[C@H](NC)[C@@H]2OC)[H])=CC=CC8,8.11748,CAS
O(CC1CCCCC1)C2=C3C(=NC(N)=N2)N=CN3,4.60033,CAS
C(OCC)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3NC1=O,6.30103,CAS
N(C=1C2=C(C=C(OCCOC)C(OCCOC)=C2)N=CN1)C3=CC(C#C)=CC=C3,5.0,CAS
C(C#N)(C1=C(Cl)C=C(NC(=O)C2=C(O)C=CC(Cl)=C2)C(C)=C1)C3=CC=C(Cl)C=C3,5.88606,CAS
O(C=1C=C(C(NC)=O)N=CC1)C2=CC=C(NC(NC3=CC(C(F)(F)F)=C(Cl)C=C3)=O)C=C2,5.0,CAS
N(C(NC=1C2=C(C(OCCN3CCOCC3)=CC1)C=CC=C2)=O)C=4N(N=C(C(C)(C)C)C4)C5=CC=C(C)C=C5,4.52288,CAS
N(C1=CC(N2CCN(CCO)CC2)=NC(C)=N1)C=3SC(C(NC4=C(C)C=CC=C4Cl)=O)=CN3,7.69897,CAS
N(C)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3N(C)C1=O,5.3279,CAS
N(C(=O)C1=CC=C(C(C)(C)C)C=C1)C2=NC=3C(S2)=CC(C)=CC3,6.58503,CAS
C(=O)(C=1C(N(C(=O)C1O)C2=NC=3C(S2)=CC(OC)=CC3)C4=CC=C(Cl)C=C4)C5=CC=CO5,5.37675,CAS
